2024-12-08 06:36:53,027 - INFO - Zaincjalizowano wyświetlacz.
2024-12-08 06:36:53,028 - INFO - Zaincjalizowano buzzer
2024-12-08 06:36:54,773 - INFO - Zaincjalizowano wyświetlacz.
2024-12-08 06:36:54,774 - INFO - Zaincjalizowano buzzer
2024-12-08 06:36:54,778 - INFO - Zaincjalizowano czujnik temperatury
2024-12-08 06:36:57,853 - INFO - Próba autoryzacji.
2024-12-08 06:36:58,770 - INFO - Zaincjalizowano wyświetlacz.
2024-12-08 06:36:58,770 - INFO - Zaincjalizowano buzzer
2024-12-08 06:36:58,774 - INFO - Zaincjalizowano czujnik temperatury
2024-12-08 06:37:29,106 - INFO - Próba autoryzacji.
2024-12-08 06:37:29,106 - INFO - Znaleziono uytkownika
2024-12-08 06:37:33,440 - INFO - Zmierzona temperatura 21.6, 55
2024-12-08 06:37:33,959 - INFO - Zmierzona temperatura 21.6, 55
2024-12-08 06:37:34,479 - INFO - Zmierzona temperatura 21.6, 55
2024-12-08 06:37:34,998 - INFO - Zmierzona temperatura 21.6, 55
2024-12-08 06:37:35,770 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:36,289 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:36,808 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:37,327 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:38,099 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:38,618 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:39,137 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:39,656 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:40,428 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:40,947 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:41,467 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:41,986 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:42,758 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:43,277 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:43,796 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:44,315 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:45,087 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:45,606 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:46,125 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:46,645 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:47,416 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:47,935 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:48,454 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:48,974 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:49,746 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:50,265 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:50,784 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:51,303 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:52,075 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:52,594 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:53,113 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:53,633 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:54,404 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:54,923 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:55,442 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:55,961 - INFO - Zmierzona temperatura 21.4, 56
2024-12-08 06:37:56,733 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:57,253 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:57,772 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:58,291 - INFO - Zmierzona temperatura 21.5, 56
2024-12-08 06:37:59,072 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:37:59,592 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:00,111 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:00,630 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:01,401 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:01,921 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:02,440 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:02,960 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:03,731 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:04,250 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:04,769 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:05,289 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:06,060 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:06,579 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:07,098 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:07,618 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:08,389 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:08,909 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:09,428 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:09,947 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:10,718 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:11,238 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:11,757 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:12,276 - INFO - Zmierzona temperatura 21.4, 55
2024-12-08 06:38:13,048 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:13,567 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:14,086 - INFO - Zmierzona temperatura 21.5, 55
2024-12-08 06:38:14,605 - INFO - Zmierzona temperatura 21.5, 55
